Real	Imaginary
40c15b70	3fce1a40
c0869020	c06cfd60
409287c0	c0d0eeb0
4039a740	4082f030
bf611280	40870090
3d31b800	bffd28c0
c024c8c0	4067d500
bfa9f8c0	3f204800
c079d660	c1030620
c09bb2d0	bfe122c0
3e283200	3f567a00
bd234800	3f0e5500
4100beb8	40109be0
c0315400	c01c0360
3f0f6280	3f1a0100
3f4dd280	bf630780
3f6bc280	40ed9af0
3ff2c440	3fdc08c0
409da7f0	bfe32b80
3e8b1c00	40b7cb10
c06a1440	3cabd000
4092c1f0	bf728b80
40856140	40159d80
4010d680	3ff01ec0
bebb1900	40e2c310
3f3d2f00	c0b50a70
3f3d6300	405e0ea0
3f941e00	40150d20
c0c15f30	40d165e0
403a6fc0	40b489a0
c0c59940	40209960
c0b30e70	c09a6590
c0831540	40c72a40
bea96500	c05eb720
3fbc8040	bfd52a40
c11a2d70	c0242960
3e9db000	3d8bc800
bf205580	c0a75af0
41169938	40bfa0a0
c032bd20	40a78fc0
c0c43fb0	c0863190
bf48ec80	c0a7fa20
40472b40	bfbef4c0
404e2900	bf1f4400
3fa32340	3fb7ee40
3e92ad00	4093cbd0
be94db00	403656a0
40154d00	3c916000
3f270700	c003dde0
becb0300	bf91e5c0
40c5fed0	c09ca750
bf74de00	c087dd80
c0b4e530	3f9b5a00
4025ea00	bfe37a80
bfd98dc0	40d25a20
40f089b0	c024fa60
c09583d0	c0359840
c0bee330	3f934a00
c110e500	40001840
c05a2ee0	c08c2ee0
3eb34c00	c0bb6390
3fe76180	c0592cc0
c06ae220	bff9da00
3facc940	3fc544c0
c0cb6c60	4077ea40
40532e40	3ed94c00
406a4be0	3f9bd680
40cf1e60	403b6720
407c3ce0	c0113640
c0514e60	c032fb60
3fc82900	c0920780
bda33800	3eb70e00
3fea9dc0	c09fa770
c08fdfa0	40425280
c0d20f90	3fbf74c0
c0febf50	bfc9b540
c070c9e0	c07b5580
c07210e0	bf8bcb40
404bc7e0	3ef42e00
c00cb7a0	c09b42f0
3fd66540	3f9999c0
c01d7740	403ee880
bf241a00	c0d678e0
3fe88e40	4080b400
405996a0	bf899040
3f077880	c028c580
c0ac91b0	410d04e0
bff35dc0	c03383a0
40481ae0	410d5000
c02e3ca0	c113d548
c08e8b30	3fbbba00
bf904780	c1125338
3fe84b40	40625080
3f442500	bf8a9940
be8b7b00	c0de0860
bfabd900	3faca600
c0937de0	c1043c28
bfc66b80	c04fcbc0
bf7bf100	409927c0
40a08e20	4075b740
40858c60	40b6de30
40a33950	404a24e0
40fdcb30	40e145c0
40187dc0	c01eb9c0
40bfd9b0	bfeeba80
3fb0b980	bfd44000
bfadb200	3fb5b840
c02799c0	401806c0
bdd55800	c0a3ec50
3f4daf80	bfc8fa80
c012d3a0	408a4fd0
40470cc0	c11a62c8
40307360	414657a0
40cb1ec0	3d424000
4083a300	bdfa0400
3eac0b00	c087b610
405251e0	c08f18c0
bf893140	40203960
3f6a4f00	3eb3ab00
40317d20	408244f0
c1064150	40081c20
405a82c0	c08c9470
40b7e8f0	bfd01780
c0330ba0	3ff38240
be7a3600	4058d300
bf02c500	3de27c00
3ff84480	400b2100
c07b1da0	410e4770
40732640	c0ae29d0
c030cd20	40cba5c0
