Real 	 Imaginary 
1.610243e+00 	 6.042488e+00 
-3.702846e+00 	 -4.205046e+00 
-6.529035e+00 	 4.579080e+00 
4.091888e+00 	 2.900845e+00 
4.218871e+00 	 -8.791588e-01 
-1.977730e+00 	 4.340876e-02 
3.622448e+00 	 -2.574754e+00 
6.261550e-01 	 -1.327906e+00 
-8.188956e+00 	 -3.903700e+00 
-1.758825e+00 	 -4.865571e+00 
8.378440e-01 	 1.642504e-01 
5.560242e-01 	 -3.986359e-02 
2.259551e+00 	 8.046570e+00 
-2.437665e+00 	 -2.770748e+00 
6.016085e-01 	 5.601057e-01 
-8.868000e-01 	 8.039942e-01 
7.425185e+00 	 9.209529e-01 
1.719052e+00 	 1.896630e+00 
-1.774718e+00 	 4.926758e+00 
5.743579e+00 	 2.717092e-01 
2.100791e-02 	 -3.657472e+00 
-9.473989e-01 	 4.586182e+00 
2.337779e+00 	 4.168130e+00 
1.875977e+00 	 2.263088e+00 
7.086343e+00 	 -3.654171e-01 
-5.657488e+00 	 7.389985e-01 
3.469678e+00 	 7.397894e-01 
2.328958e+00 	 1.157163e+00 
6.543716e+00 	 -6.042871e+00 
5.641826e+00 	 2.913071e+00 
2.509384e+00 	 -6.174957e+00 
-4.824870e+00 	 -5.595520e+00 
6.223931e+00 	 -4.096336e+00 
-3.479902e+00 	 -3.308486e-01 
-1.665325e+00 	 1.472663e+00 
-2.564993e+00 	 -9.636094e+00 
6.828099e-02 	 3.079884e-01 
-5.229822e+00 	 -6.263067e-01 
5.988392e+00 	 9.412402e+00 
5.236327e+00 	 -2.792791e+00 
-4.193527e+00 	 -6.132771e+00 
-5.249249e+00 	 -7.848658e-01 
-1.491819e+00 	 3.112009e+00 
-6.221148e-01 	 3.221247e+00 
1.436969e+00 	 1.274509e+00 
4.618648e+00 	 2.864764e-01 
2.849052e+00 	 -2.907397e-01 
1.776067e-02 	 2.332824e+00 
-2.060400e+00 	 6.524534e-01 
-1.139806e+00 	 -3.965001e-01 
-4.895409e+00 	 6.187356e+00 
-4.245771e+00 	 -9.565126e-01 
1.213705e+00 	 -5.652976e+00 
-1.777155e+00 	 2.592411e+00 
6.573518e+00 	 -1.699633e+00 
-2.577760e+00 	 7.516807e+00 
-2.837401e+00 	 -4.672340e+00 
1.150720e+00 	 -5.965228e+00 
2.001504e+00 	 -9.055908e+00 
-4.380703e+00 	 -3.409105e+00 
-5.855893e+00 	 3.501945e-01 
-3.393348e+00 	 1.807668e+00 
-1.951954e+00 	 -3.670048e+00 
1.541177e+00 	 1.349895e+00 
3.873683e+00 	 -6.356975e+00 
4.244261e-01 	 3.299703e+00 
1.217501e+00 	 3.660892e+00 
2.928189e+00 	 6.472464e+00 
-2.268913e+00 	 3.941223e+00 
-2.796570e+00 	 -3.270401e+00 
-4.563399e+00 	 1.563757e+00 
3.575533e-01 	 -7.969326e-02 
-4.989169e+00 	 1.832949e+00 
3.036313e+00 	 -4.496040e+00 
1.495774e+00 	 -6.564395e+00 
-1.575826e+00 	 -7.960846e+00 
-3.927074e+00 	 -3.762317e+00 
-1.092121e+00 	 -3.782272e+00 
4.769320e-01 	 3.184083e+00 
-4.851905e+00 	 -2.198702e+00 
1.200021e+00 	 1.674971e+00 
2.982962e+00 	 -2.460401e+00 
-6.702235e+00 	 -6.410148e-01 
4.021993e+00 	 1.816845e+00 
-1.074691e+00 	 3.399822e+00 
-2.637033e+00 	 5.291881e-01 
8.813716e+00 	 -5.392786e+00 
-2.804886e+00 	 -1.901295e+00 
8.832048e+00 	 3.126646e+00 
-9.239545e+00 	 -2.722452e+00 
1.466635e+00 	 -4.454497e+00 
-9.145297e+00 	 -1.127181e+00 
3.536184e+00 	 1.814801e+00 
-1.082786e+00 	 7.661884e-01 
-6.938506e+00 	 -2.724217e-01 
1.348830e+00 	 -1.342557e+00 
-8.264670e+00 	 -4.609112e+00 
-3.246790e+00 	 -1.550155e+00 
4.786122e+00 	 -9.841492e-01 
3.839325e+00 	 5.017348e+00 
5.714634e+00 	 4.173389e+00 
3.158524e+00 	 5.100750e+00 
7.039783e+00 	 7.931056e+00 
-2.480072e+00 	 2.382675e+00 
-1.865046e+00 	 5.995326e+00 
-1.658188e+00 	 1.380659e+00 
1.419701e+00 	 -1.357000e+00 
2.375425e+00 	 -2.618763e+00 
-5.122581e+00 	 -1.041730e-01 
-1.570128e+00 	 8.034566e-01 
4.322255e+00 	 -2.294170e+00 
-9.649100e+00 	 3.110155e+00 
1.239641e+01 	 2.757043e+00 
4.743827e-02 	 6.347501e+00 
-1.220585e-01 	 4.113646e+00 
-4.240961e+00 	 3.360207e-01 
-4.471758e+00 	 3.286252e+00 
2.503515e+00 	 -1.071812e+00 
3.509276e-01 	 9.152697e-01 
4.070928e+00 	 2.773264e+00 
2.126727e+00 	 -8.390941e+00 
-4.393105e+00 	 3.414227e+00 
-1.625700e+00 	 5.747189e+00 
1.902424e+00 	 -2.797589e+00 
3.387888e+00 	 -2.443478e-01 
1.105945e-01 	 -5.108198e-01 
2.173905e+00 	 1.939592e+00 
8.892454e+00 	 -3.923684e+00 
-5.442588e+00 	 3.799216e+00 
6.363995e+00 	 -2.762518e+00 
-3.250529e+00 	 -4.491489e+00 
-1.160569e+00 	 -4.713914e+00 
-3.741936e+00 	 1.240513e+00 
5.458451e+00 	 -1.309686e+01 
-4.593538e+00 	 -6.111559e+00 
-9.804722e+00 	 -4.133978e+00 
2.366515e+00 	 7.724997e+00 
-1.421227e+00 	 6.057885e+00 
1.897224e+00 	 1.887387e+00 
-5.621124e+00 	 -6.687443e+00 
-3.851255e-01 	 2.028518e+00 
3.978574e+00 	 8.110128e-01 
1.404875e+00 	 4.398635e+00 
5.019114e+00 	 2.077689e+00 
7.186750e+00 	 3.591996e-01 
-5.474526e+00 	 5.219689e-01 
3.044862e+00 	 -8.924503e-01 
1.206653e+00 	 -4.915065e+00 
4.413482e+00 	 -2.513211e+00 
-2.855865e+00 	 4.909985e+00 
8.869406e+00 	 6.637473e+00 
2.485901e+00 	 1.122198e+00 
1.737305e+00 	 4.227986e+00 
-4.412235e-01 	 3.816162e-01 
-3.749138e-01 	 4.115058e-01 
3.633811e+00 	 1.734243e+00 
-4.250406e-02 	 1.847170e+00 
1.688884e+00 	 -1.846224e+00 
3.116423e+00 	 -7.455979e+00 
-8.440114e+00 	 4.202541e+00 
6.820653e-01 	 4.252005e-02 
1.466629e+00 	 1.752975e+00 
-2.617263e+00 	 -4.656249e+00 
-1.372994e+00 	 -7.829335e-01 
-5.145752e-01 	 2.747535e+00 
-3.147504e+00 	 7.816626e+00 
-1.940590e+00 	 1.520378e+00 
-1.070488e+01 	 1.627791e+00 
6.274087e+00 	 5.623143e-02 
5.031947e-01 	 -1.015554e+00 
-4.124110e+00 	 -5.663040e+00 
1.740193e+00 	 1.415681e+00 
3.472133e+00 	 2.356697e+00 
-9.846098e+00 	 4.780201e-01 
1.130515e+00 	 2.646591e+00 
-1.206192e+00 	 2.971663e+00 
4.849531e+00 	 3.177862e+00 
4.150287e+00 	 -2.813857e+00 
4.165962e+00 	 -2.243236e+00 
-2.539222e+00 	 -3.119705e+00 
2.431654e+00 	 1.962813e+00 
3.778266e+00 	 -3.049686e+00 
9.929797e-01 	 -1.743324e+00 
-6.254302e+00 	 -2.457605e+00 
1.472673e+00 	 1.484427e+00 
5.945188e-01 	 -4.813917e+00 
4.446105e-01 	 1.149189e+00 
4.617651e+00 	 -1.705796e+00 
-1.065194e+00 	 -3.037645e+00 
-3.248749e+00 	 -3.379126e+00 
8.753854e+00 	 -2.291966e+00 
-2.985031e+00 	 -2.128428e-01 
2.099539e+00 	 6.024104e-01 
3.721950e+00 	 -2.405386e+00 
7.686018e+00 	 -3.843877e+00 
1.081166e+01 	 -1.106748e+00 
2.373210e+00 	 2.479110e+00 
-7.235895e+00 	 1.698199e-01 
-1.257280e+00 	 2.221193e-01 
3.804847e-01 	 -2.586751e+00 
1.235945e+00 	 -3.503795e+00 
2.044927e+00 	 1.658940e+00 
4.606120e+00 	 -4.455021e+00 
-6.632868e-02 	 -6.939982e+00 
2.877425e+00 	 3.595070e+00 
1.659150e+00 	 -3.062857e+00 
-1.755797e+00 	 6.030222e-01 
-4.801917e+00 	 3.813703e+00 
-1.292254e+00 	 2.946116e+00 
-3.824436e+00 	 -1.400221e-01 
3.213778e+00 	 1.980574e+00 
-5.787593e-01 	 2.819081e+00 
-4.128341e+00 	 -4.763786e+00 
1.343602e+00 	 4.366098e+00 
-3.147433e+00 	 -4.620459e+00 
1.850400e-01 	 -3.951287e+00 
3.173219e+00 	 -5.677319e+00 
-7.564005e-01 	 -9.583752e+00 
2.506324e+00 	 9.352816e-01 
-2.602340e+00 	 -2.602414e+00 
-6.424357e+00 	 -2.395100e+00 
2.404430e+00 	 6.700341e+00 
-5.223626e-01 	 -1.790147e+00 
-1.767549e-01 	 7.307955e-01 
2.442999e-01 	 -4.061207e-01 
