Output[0]: {-0.601084,-0.059909}	FIRST SYMBOL	Pass
Output[1]: {0.571592,0.530777}	FIRST SYMBOL	Pass
Output[2]: {0.096652,-0.704768}	FIRST SYMBOL	Pass
Output[3]: {-0.493203,0.428746}	FIRST SYMBOL	Pass
Output[4]: {0.595521,0.033847}	FIRST SYMBOL	Pass
Output[5]: {-0.425508,-0.530197}	FIRST SYMBOL	Pass
Output[6]: {-0.015958,0.623015}	FIRST SYMBOL	Pass
Output[7]: {0.504235,-0.433297}	FIRST SYMBOL	Pass
Output[8]: {-0.612428,-0.060689}	FIRST SYMBOL	Pass
Output[9]: {0.46423,0.484835}	FIRST SYMBOL	Pass
Output[10]: {0.038207,-0.673277}	FIRST SYMBOL	Pass
Output[11]: {-0.418757,0.335124}	FIRST SYMBOL	Pass
Output[12]: {0.506749,0.073827}	FIRST SYMBOL	Pass
Output[13]: {-0.383995,-0.44953}	FIRST SYMBOL	Pass
Output[14]: {-0.017262,0.549452}	FIRST SYMBOL	Pass
Output[15]: {0.395049,-0.282604}	FIRST SYMBOL	Pass
Output[16]: {-0.398053,-0.061566}	FIRST SYMBOL	Pass
Output[17]: {0.20797,0.298626}	FIRST SYMBOL	Pass
Output[18]: {0.060601,-0.301795}	FIRST SYMBOL	Pass
Output[19]: {-0.372701,0.091815}	FIRST SYMBOL	Pass
Output[20]: {0.187062,0.178716}	FIRST SYMBOL	Pass
Output[21]: {-0.017487,-0.13696}	FIRST SYMBOL	Pass
Output[22]: {-0.173727,0.156696}	FIRST SYMBOL	Pass
Output[23]: {0.204019,0.009835}	FIRST SYMBOL	Pass
Output[24]: {-0.09403,-0.262932}	FIRST SYMBOL	Pass
Output[25]: {-0.244866,0.240371}	FIRST SYMBOL	Pass
Output[26]: {0.351761,0.030759}	FIRST SYMBOL	Pass
Output[27]: {-0.129693,-0.372167}	FIRST SYMBOL	Pass
Output[28]: {-0.081731,0.435934}	FIRST SYMBOL	Pass
Output[29]: {0.371914,-0.249935}	FIRST SYMBOL	Pass
Output[30]: {-0.612817,-0.196231}	FIRST SYMBOL	Pass
Output[31]: {0.186924,0.512677}	FIRST SYMBOL	Pass
Output[32]: {0.181238,-0.62866}	FIRST SYMBOL	Pass
Output[33]: {-0.562053,0.220645}	FIRST SYMBOL	Pass
Output[34]: {0.738443,0.218542}	FIRST SYMBOL	Pass
Output[35]: {-0.426321,-0.66548}	FIRST SYMBOL	Pass
