(-0.601085,-0.0599098)
(0.571591,0.530777)
(0.0966511,-0.704768)
(-0.493203,0.428745)
(0.595521,0.0338469)
(-0.425508,-0.530197)
(-0.0159588,0.623014)
(0.504234,-0.433297)
(-0.612429,-0.0606899)
(0.46423,0.484835)
(0.0382061,-0.673278)
(-0.418757,0.335123)
(0.506748,0.0738268)
(-0.383995,-0.449531)
(-0.0172625,0.549452)
(0.395048,-0.282604)
(-0.398053,-0.0615664)
(0.20797,0.298626)
(0.0606003,-0.301795)
(-0.372702,0.091815)
(0.187061,0.178716)
(-0.0174875,-0.13696)
(-0.173727,0.156695)
(0.204019,0.00983429)
(-0.0940304,-0.262933)
(-0.244866,0.240371)
(0.351761,0.0307589)
(-0.129693,-0.372168)
(-0.0817318,0.435933)
(0.371914,-0.249935)
(-0.612818,-0.196232)
(0.186924,0.512676)
(0.181237,-0.62866)
(-0.562054,0.220645)
(0.738442,0.218541)
(-0.426321,-0.665481)
(-0.163478,0.665213)
(0.667361,-0.427729)
(-0.840249,-0.0984612)
(0.545979,0.707045)
(0.135159,-0.898352)
(-0.76762,0.514823)
(0.928486,0.122949)
(-0.573689,-0.744654)
(-0.0273352,0.905512)
(0.695843,-0.61738)
(-0.926666,0.10675)
(0.699928,0.638959)
(-0.0652122,-0.899884)
(-0.553588,0.689107)
(0.884184,-0.105082)
(-0.670984,-0.489067)
(0.211633,0.795377)
(0.437788,-0.75397)
(-0.736992,0.231014)
(0.656008,0.316924)
(-0.331476,-0.587765)
(-0.229745,0.632187)
(0.540917,-0.203017)
(-0.485543,0.00194263)
(0.28193,0.380371)
(0.080411,-0.315394)
(-0.178295,0.217048)
(0.221884,-0.0868902)
(-0.244115,-0.0938673)
(0.168576,0.1397)
(-0.0743523,-0.127445)
(-0.0390787,0.128451)
(0.146235,-0.174534)
(-0.1841,0.155262)
(0.389249,0.0858431)
(-0.280203,-0.285618)
(0.136822,0.370292)
(0.188512,-0.40659)
(-0.494277,0.135451)
(0.506148,0.250241)
(-0.28042,-0.518604)
(-0.178887,0.633721)
(0.668936,-0.374858)
(-0.711062,-0.178716)
(0.36279,0.630371)
(0.172311,-0.803121)
(-0.596794,0.513753)
(0.790235,0.0887585)
(-0.649056,-0.621853)
(-0.0308237,0.801502)
(0.654505,-0.629208)
(-0.873289,0.036809)
(0.627658,0.632297)
(-0.0878401,-0.830914)
(-0.564516,0.703368)
(0.842039,-0.0881519)
(-0.722244,-0.585617)
(0.112251,0.853955)
(0.490511,-0.649117)
(-0.802969,0.0824747)
(0.61916,0.435036)
(-0.137886,-0.677631)
(-0.384005,0.58323)
(0.68083,-0.0352211)
(-0.445188,-0.386883)
(0.0725241,0.494954)
(0.383074,-0.465022)
(-0.56739,-0.0200634)
(0.372922,0.42405)
(-0.0380983,-0.509336)
(-0.4284,0.371008)
(0.30785,0.0776215)
(-0.21999,-0.391668)
(-0.13668,0.415028)
(0.32935,-0.1374)
(-0.336403,-0.170144)
(0.0523663,0.363855)
(0.226403,-0.235519)
(-0.388719,-0.0368929)
(0.221931,0.28604)
(0.0351648,-0.405928)
(-0.353149,0.117942)
(0.404322,0.159146)
(-0.158507,-0.418203)
(-0.182592,0.336354)
(0.424939,-0.12939)
(-0.451128,-0.236621)
(0.0559006,0.455571)
(0.311031,-0.372431)
(-0.582977,0.0636902)
(0.402607,0.362181)
(0.0449762,-0.62126)
(-0.464603,0.4027)
(0.662002,0.0752239)
(-0.424718,-0.495643)
(-0.00719738,0.626965)
(0.487455,-0.365409)
(-0.60811,-0.0648699)
(0.437405,0.55763)
(0.114429,-0.621134)
(-0.695631,0.467634)
(0.737698,0.159194)
(-0.404667,-0.654616)
(-0.14753,0.72543)
(0.664167,-0.445573)
(-0.704193,-0.145332)
(0.435385,0.710345)
(0.264014,-0.857396)
(-0.687737,0.346445)
(0.763192,0.194059)
(-0.424645,-0.709712)
(-0.270571,0.784433)
(0.693706,-0.470564)
(-0.794927,-0.126672)
(0.409703,0.723858)
(0.191964,-0.747722)
(-0.77758,0.462386)
(0.73461,0.126596)
(-0.4018,-0.600647)
(-0.186727,0.771747)
(0.551591,-0.4312)
(-0.770494,-0.0783539)
(0.554309,0.540748)
(-0.0161905,-0.734239)
(-0.504643,0.513817)
(0.65505,0.00184822)
(-0.459662,-0.472213)
(-0.0113544,0.591074)
(0.361307,-0.448118)
(-0.591996,0.0717726)
(0.431861,0.409516)
(-0.154701,-0.454156)
(-0.235118,0.397598)
(0.387803,-0.140452)
(-0.294266,-0.143996)
(0.189862,0.266572)
(0.0578508,-0.225116)
(-0.213098,0.163713)
(0.176574,0.00298309)
(-0.180652,-0.153194)
(0.0525999,0.206361)
(0.0221291,-0.170157)
(-0.0605202,0.174117)
(0.12885,-0.0660772)
(-0.158923,-0.0646944)
(0.156261,0.151189)
(-0.0769711,-0.2902)
(-0.151611,0.2375)
(0.292149,-0.109478)
(-0.309193,-0.128361)
(0.202767,0.314711)
(0.0643587,-0.368015)
(-0.281425,0.302401)
(0.359517,-0.0684919)
(-0.373226,-0.244856)
(-0.0099268,0.43277)
(0.232363,-0.355396)
(-0.427839,0.0328817)
(0.392228,0.29979)
(-0.278115,-0.560394)
(-0.222085,0.482292)
(0.501892,-0.291762)
(-0.489664,-0.149446)
(0.283518,0.442259)
(0.126845,-0.435946)
(-0.302049,0.136168)
(0.391368,0.0537539)
(-0.254603,-0.450371)
(-0.107384,0.41587)
(0.36118,-0.276637)
(-0.354549,-0.106234)
(0.19968,0.325179)
(0.0281782,-0.323725)
(-0.367623,0.168423)
(0.28224,0.0381403)
(-0.133473,-0.28723)
(-0.113161,0.22516)
(0.264132,-0.138572)
(-0.218891,-0.0743189)
(0.0924788,0.243963)
(0.0404139,-0.1229)
(-0.311771,0.117324)
(0.182114,0.0937223)
(0.0354042,-0.26422)
(-0.249683,0.121558)
(0.278607,0.0702677)
(-0.184539,-0.223772)
(-0.0844984,0.313745)
(0.273401,-0.113944)
(-0.275309,-0.126803)
(0.148539,0.325575)
(0.103852,-0.365601)
(-0.357241,0.167328)
(0.343269,0.105634)
(-0.227983,-0.333345)
(-0.0860176,0.394547)
(0.312201,-0.273084)
(-0.457234,0.0310287)
(0.358078,0.385666)
(0.00734711,-0.475144)
(-0.314505,0.381272)
(0.449807,-0.0417767)
(-0.452223,-0.277938)
(0.0772829,0.489017)
(0.336069,-0.354171)
(-0.534172,0.111345)
(0.510615,0.239924)
(-0.279127,-0.521344)
(-0.221164,0.602524)
(0.419121,-0.318442)
(-0.571097,-0.147609)
(0.342907,0.45406)
(-0.00741959,-0.473649)
(-0.411118,0.350023)
(0.521888,0.0110865)
(-0.457973,-0.352132)
(0.147806,0.501042)
(0.306489,-0.46909)
(-0.531409,0.235415)
(0.488689,0.203718)
(-0.186792,-0.531402)
(-0.171246,0.372877)
(0.389841,-0.272421)
(-0.559656,-0.0475712)
(0.335176,0.325507)
(0.113449,-0.525352)
(-0.323714,0.367107)
(0.558336,0.00278187)
(-0.294832,-0.283469)
(0.0752583,0.485068)
(0.275401,-0.375204)
(-0.442609,0.0698433)
(0.326146,0.199171)
(-0.148967,-0.356327)
(-0.165507,0.322337)
(0.351271,-0.150479)
(-0.317707,-0.115269)
(0.0733509,0.307567)
(0.119564,-0.292973)
(-0.236366,0.0897694)
(0.261576,0.0317087)
(-0.126964,-0.221966)
(0.0127182,0.2553)
(0.255239,-0.105745)
(-0.19845,-0.0304375)
(0.120646,0.105163)
(-0.0163174,-0.145123)
(-0.0671692,0.0714808)
(0.0650015,0.0386381)
(-0.0696087,-0.0602274)
(-0.0107279,0.0357428)
(0.0598326,0.015378)
(0.0468731,0.016181)
(-0.111813,-0.0622978)
(0.0515308,0.132153)
(0.0916338,-0.0582476)
(-0.150732,0.0577736)
(0.18226,0.0416536)
(-0.0900021,-0.15815)
(0.0179729,0.200961)
(0.111851,-0.105709)
(-0.255491,-0.0150967)
(0.184248,0.144719)
(0.0481787,-0.29716)
(-0.225369,0.142892)
(0.255181,0.0361891)
(-0.179533,-0.218313)
(0.0736532,0.272918)
(0.0855436,-0.23306)
(-0.230286,0.0362091)
(0.250593,0.188032)
(-0.0947266,-0.297479)
(-0.128119,0.165524)
(0.210938,-0.0753479)
(-0.212068,-0.201566)
(0.062254,0.209256)
(0.12879,-0.201509)
(-0.210618,0.0754995)
(0.232552,0.0265322)
(-0.181323,-0.211396)
(-0.0583849,0.188415)
(0.184351,-0.00910759)
(-0.104573,0.0665464)
(0.139895,0.0781507)
(-0.02425,-0.116149)
(-0.0106936,0.0906582)
(0.0625658,-0.0193338)
(0.012517,0.0031147)
(0.0794773,-0.0130558)
(-0.0718613,-0.0317688)
(0.158798,0.113626)
(0.0431156,-0.173705)
(-0.138578,0.12742)
(0.188352,-0.0270071)
(-0.259342,-0.0870857)
(0.120865,0.3295)
(0.210819,-0.266704)
(-0.294008,0.259377)
(0.43723,0.0518808)
(-0.176378,-0.328612)
(-0.0427952,0.331663)
(0.368015,-0.239528)
(-0.493671,-0.0418282)
(0.325897,0.349186)
(0.115623,-0.488362)
(-0.388563,0.394179)
(0.522212,-0.0576649)
(-0.506861,-0.377614)
(0.0868015,0.635026)
(0.392708,-0.405382)
(-0.606479,0.0600986)
(0.592816,0.352539)
(-0.137478,-0.568466)
(-0.25597,0.618304)
(0.645827,-0.172248)
(-0.631068,-0.225599)
(0.2787,0.629761)
(0.17411,-0.637371)
(-0.683587,0.322406)
(0.680854,0.15499)
(-0.302946,-0.536889)
(-0.0917616,0.697176)
(0.491756,-0.447422)
(-0.58073,-0.00598049)
(0.451747,0.426406)
(-0.0825319,-0.59099)
(-0.397242,0.438337)
(0.477573,-0.0629339)
(-0.464514,-0.343151)
(0.17778,0.504379)
(0.269552,-0.436225)
(-0.357437,0.268467)
(0.411299,0.139537)
(-0.170603,-0.32619)
(-0.0342522,0.362602)
(0.311188,-0.332015)
(-0.31963,0.0208044)
(0.326006,0.186697)
(-0.134528,-0.336642)
(-0.0277004,0.307143)
(0.269614,-0.239404)
(-0.347811,-0.0693655)
(0.245983,0.178727)
(-0.0959997,-0.294328)
(-0.0811396,0.245563)
(0.234095,-0.152644)
(-0.318825,0.0346479)
(0.318252,0.259945)
(-0.093791,-0.367723)
(-0.17047,0.407908)
(0.404101,-0.153838)
(-0.347347,-0.168221)
(0.273061,0.348901)
(0.104217,-0.463224)
(-0.4146,0.29969)
(0.564178,0.0646973)
(-0.397802,-0.314612)
(0.0375242,0.531053)
(0.280318,-0.377401)
(-0.48634,0.0776958)
(0.367383,0.212316)
(-0.158057,-0.409878)
(-0.216131,0.475938)
(0.402943,-0.182054)
(-0.437224,-0.0909567)
(0.222059,0.400574)
(0.0927172,-0.397113)
(-0.232059,0.137562)
(0.345545,0.0633316)
(-0.191175,-0.210092)
(-0.00178051,0.313617)
(0.182569,-0.194225)
(-0.231883,-0.043644)
(0.187265,0.134279)
(0.0122738,-0.114674)
(-0.0378885,0.13313)
(-0.016571,0.0139322)
(-0.0303431,0.0678806)
(0.00495625,-0.0579195)
(-0.0941839,0.115761)
(0.141895,-0.0519485)
(-0.163553,-0.173109)
(0.0603504,0.243186)
(0.148062,-0.262934)
(-0.33825,0.0803967)
(0.346119,0.202066)
(-0.211334,-0.459332)
(-0.195983,0.51005)
(0.43171,-0.252407)
(-0.511753,-0.169764)
(0.307137,0.548098)
(0.116487,-0.652428)
(-0.540808,0.442518)
(0.742715,0.129612)
(-0.557045,-0.605677)
(-0.00615978,0.878771)
(0.564029,-0.682608)
(-0.86708,0.00677776)
(0.669124,0.622458)
(-0.16983,-0.905503)
(-0.521787,0.740939)
(0.948791,-0.199706)
(-0.850756,-0.47148)
(0.31567,1.01049)
(0.45434,-0.943103)
(-0.964603,0.374448)
(0.958117,0.292006)
(-0.452895,-1.05651)
(-0.295541,1.06588)
(0.907412,-0.599955)
(-1.0639,-0.176969)
(0.670128,0.809377)
(0.100472,-1.14672)
(-0.718038,0.736718)
(1.08995,-0.0360107)
(-0.828105,-0.713333)
(0.118923,1.01912)
(0.603789,-0.832769)
(-1.02891,0.187138)
(0.797927,0.415738)
(-0.311292,-0.889166)
(-0.379311,0.893284)
(0.91644,-0.450249)
(-0.907853,-0.331773)
(0.439018,0.776031)
(0.170214,-0.831922)
(-0.659544,0.567503)
(0.92638,-0.0188093)
(-0.688218,-0.612518)
(0.135999,0.783934)
