map_imag,map_real
0070,ffae
ff7a,ffd2
0027,008b
005d,ff90
ff6e,fff2
0048,0080
0041,ff7c
ff70,0016
0064,0068
001b,ff73
ff7f,003c
007b,0044
ffef,ff76
ff9b,0060
0089,0018
ffc2,ff83
ffc0,007d
008c,ffe9
ff9a,ff9b
ffe9,0090
0084,ffbf
ff7d,ffb9
0011,0095
0071,ff9d
ff6f,ffdb
0034,008c
0055,ff87
ff6e,fffe
0050,0077
0033,ff7d
ff7a,0020
0065,0059
000e,ff7d
ff8f,003f
0073,0036
ffe9,ff84
ffa8,005b
007d,0013
ffc7,ff8e
ffc3,0072
0082,fff1
ffa9,ff9c
ffde,0083
0081,ffd2
ff91,ffad
fff9,008c
0079,ffb7
ff80,ffc4
0015,008c
0068,ffa0
ff77,ffe0
0033,0082
004d,ff8c
ff76,0003
0052,006e
002a,ff7e
ff7e,002a
006e,0051
0001,ff76
ff8f,0050
0085,002e
ffd8,ff77
ffa6,0072
0093,0009
ffb2,ff81
ffc3,0089
0095,ffe5
ff96,ff94
ffe2,0094
008a,ffc6
ff83,ffaf
0003,0092
0075,ffac
ff7b,ffd0
0023,0086
0058,ff99
ff7c,fff3
0040,0072
0037,ff8b
ff82,0016
005a,005b
0017,ff82
ff8a,0035
006f,0044
fff9,ff7c
ff95,0050
0080,002d
ffdf,ff7b
ffa2,0066
008a,0016
ffc7,ff80
ffb4,0077
008d,fffe
ffb1,ff8c
ffcb,0082
0088,ffe3
ff9c,ffa0
ffe9,0088
007c,ffc6
ff8a,ffbc
000d,0088
0068,ffa7
ff7b,ffde
0032,0082
004e,ff8b
ff72,0003
0055,0075
0031,ff76
ff71,0026
0071,0062
0012,ff6b
ff79,0044
0083,004a
fff5,ff6b
ff8b,005b
008b,002f
ffdb,ff75
ffa3,006a
008a,0012
ffc3,ff87
ffbf,0074
0082,fff4
ffae,ff9c
ffdd,007b
0079,ffd8
ff9b,ffb3
fff9,007f
006e,ffbe
ff8a,ffc9
0013,0082
0064,ffa7
ff7d,ffdd
002b,0083
0057,ff93
ff73,fff2
0041,007f
0048,ff84
ff70,0008
0055,0074
0032,ff79
ff74,0021
0068,0061
0016,ff74
ff81,003c
0079,0047
fff6,ff75
ff94,0057
0085,0027
ffd4,ff7c
ffac,0070
008d,0006
ffb4,ff88
ffc6,0083
008e,ffe6
ff9b,ff97
ffe0,008f
0089,ffcd
ff8a,ffa9
fff7,0091
007e,ffb9
ff81,ffbd
000c,008d
006e,ffab
ff7f,ffd3
0020,0083
005b,ffa0
ff80,ffe9
0033,0076
0046,ff95
ff81,0001
0047,0069
0030,ff8a
ff82,001a
005c,005c
001a,ff7f
ff84,0033
0071,004e
0003,ff75
ff87,004b
0083,003e
ffec,ff6f
ff8f,0060
008f,002b
ffd6,ff70
ff9e,0072
0094,0014
ffc0,ff7a
ffb4,007e
0092,fffa
ffac,ff8b
ffce,0085
0088,ffe0
ff9a,ffa2
ffec,0087
007a,ffc6
ff8c,ffbb
0008,0086
006b,ffaf
ff81,ffd3
0020,0083
005d,ff9e
ff7a,ffe6
0033,007f
0051,ff91
ff76,fff6
0041,007a
0046,ff88
ff75,0004
004d,0074
0039,ff82
ff77,0013
0058,0069
0029,ff7d
ff7c,0023
0065,005b
0015,ff7a
ff85,0038
0073,0048
fffc,ff78
ff90,004f
0080,0031
ffe1,ff78
ff9f,0066
008c,0019
ffc7,ff7c
ffaf,0079
0093,0002
ffb1,ff83
ffc1,0087
0094,ffed
ffa1,ff8e
ffd3,008d
008e,ffdc
ff97,ff9c
ffe4,008c
0084,ffce
ff91,ffad
fff5,0087
0076,ffc2
